Date,Open,High,Low,Close,Volume
2023-10-18,1874.07,1888.77,1856.54,1865.45,123749
2023-10-19,1865.57,1868.91,1861.66,1866.61,308375
2023-10-20,1864.74,1882.27,1840.81,1845.84,304791
2023-10-23,1848.05,1862.40,1835.04,1839.26,151270
2023-10-24,1839.20,1859.74,1838.55,1844.17,143978
2023-10-25,1842.11,1846.20,1829.48,1829.90,108807
2023-10-26,1831.97,1839.81,1804.16,1818.06,313781
2023-10-27,1818.76,1831.86,1800.60,1806.94,304466
2023-10-30,1807.74,1818.09,1789.33,1791.64,277939
2023-10-31,1795.35,1805.54,1778.59,1789.38,149634
2023-11-01,1789.06,1798.83,1767.52,1773.49,282196
2023-11-02,1774.45,1790.86,1750.36,1764.10,284326
2023-11-03,1760.63,1773.29,1745.04,1755.64,108691
2023-11-06,1759.07,1772.87,1725.68,1739.83,590363
2023-11-07,1741.69,1755.66,1734.45,1749.44,184230
2023-11-08,1746.07,1753.92,1723.88,1729.93,219573
2023-11-09,1730.11,1736.50,1713.96,1726.33,279367
2023-11-10,1727.55,1729.83,1700.87,1714.20,190245
2023-11-13,1717.06,1730.15,1698.80,1700.12,155652
2023-11-14,1703.01,1714.04,1694.28,1705.95,295806
2023-11-15,1702.32,1708.50,1684.54,1697.19,68478
2023-11-16,1698.39,1710.70,1684.03,1692.22,60055
2023-11-17,1691.27,1700.60,1682.41,1693.54,300787
2023-11-20,1695.82,1708.48,1693.51,1702.75,288332
2023-11-21,1703.51,1710.01,1678.42,1692.58,169807
2023-11-22,1690.64,1702.97,1661.19,1677.06,239477
2023-11-23,1675.39,1690.17,1667.66,1676.39,312381
2023-11-24,1676.42,1695.25,1660.93,1694.27,292473
2023-11-27,1693.78,1701.96,1680.48,1700.05,159122
2023-11-28,1701.75,1728.30,1690.01,1716.01,120818
2023-11-29,1718.41,1733.37,1703.41,1710.08,84417
2023-11-30,1711.29,1718.12,1694.09,1705.69,111725
2023-12-01,1704.75,1715.45,1700.70,1706.11,232382
2023-12-04,1702.45,1727.12,1697.38,1721.80,135742
2023-12-05,1721.58,1732.53,1705.53,1706.20,67280
2023-12-06,1707.16,1724.67,1692.16,1709.73,510517
2023-12-07,1708.81,1731.84,1707.59,1722.77,215001
2023-12-08,1721.55,1735.07,1715.41,1733.83,83817
2023-12-11,1733.91,1759.60,1725.21,1746.21,75298
2023-12-12,1746.01,1776.10,1741.61,1762.09,283375
2023-12-13,1764.13,1766.95,1748.18,1763.61,168352
2023-12-14,1761.06,1773.00,1739.57,1750.39,295982
2023-12-15,1749.69,1772.14,1740.46,1762.70,108880
2023-12-18,1765.24,1780.25,1757.48,1773.14,161043
2023-12-19,1775.30,1775.40,1764.99,1771.78,284928
2023-12-20,1775.19,1788.65,1765.48,1766.12,255031
2023-12-21,1766.94,1774.37,1739.69,1753.39,299562
2023-12-22,1750.95,1754.99,1740.93,1754.19,143024
2023-12-25,1754.93,1758.67,1751.41,1757.75,288250
2023-12-26,1757.79,1766.79,1748.09,1750.04,289715
2023-12-27,1753.63,1758.45,1732.58,1742.62,170737
2023-12-28,1746.28,1770.40,1744.40,1765.34,111589
2023-12-29,1768.73,1783.76,1750.03,1755.60,303345
2024-01-01,1755.05,1764.31,1732.11,1736.59,83178
2024-01-02,1737.19,1743.87,1731.35,1740.15,317519
2024-01-03,1743.05,1754.77,1717.24,1732.50,160160
2024-01-04,1734.48,1760.45,1728.85,1753.85,207432
2024-01-05,1754.79,1767.13,1749.91,1757.71,206713
2024-01-08,1758.79,1781.72,1744.53,1769.55,88163
2024-01-09,1769.32,1786.20,1741.17,1751.82,309288
2024-01-10,1753.96,1766.10,1753.40,1758.29,276553
2024-01-11,1758.16,1785.19,1755.05,1777.15,156855
2024-01-12,1780.18,1787.67,1769.29,1782.34,249334
2024-01-15,1779.98,1784.68,1763.72,1770.67,212925
2024-01-16,1766.82,1775.62,1736.08,1752.51,228871
2024-01-17,1751.78,1775.13,1735.55,1762.82,213355
2024-01-18,1765.32,1777.14,1733.79,1748.72,243707
2024-01-19,1745.51,1762.57,1731.66,1742.87,113339
2024-01-22,1742.40,1757.27,1725.41,1750.89,80637
2024-01-23,1750.16,1755.60,1737.14,1745.81,202209
2024-01-24,1745.99,1760.06,1728.88,1738.67,318798
2024-01-25,1735.42,1744.72,1719.00,1720.44,165965
2024-01-26,1718.59,1750.61,1712.84,1736.32,85233
2024-01-29,1734.35,1734.40,1729.54,1732.03,193937
2024-01-30,1735.04,1759.38,1733.25,1748.23,237833
2024-01-31,1751.99,1771.51,1741.67,1758.40,281307
2024-02-01,1755.95,1764.00,1733.17,1742.95,169376
2024-02-02,1741.36,1751.56,1725.71,1728.18,63151
2024-02-05,1728.73,1734.95,1710.11,1722.75,129709
2024-02-06,1726.18,1730.38,1717.83,1723.65,83214
2024-02-07,1725.95,1744.08,1717.15,1730.15,60911
2024-02-08,1730.73,1743.69,1714.10,1726.78,311457
2024-02-09,1723.53,1735.09,1711.41,1732.47,211812
2024-02-12,1733.36,1751.05,1724.86,1735.35,148682
2024-02-13,1736.88,1767.27,1729.41,1752.50,246372
2024-02-14,1755.11,1758.11,1738.37,1738.41,209211
2024-02-15,1741.79,1744.07,1733.28,1737.86,293445
2024-02-16,1739.05,1755.11,1737.00,1740.81,299847
2024-02-19,1743.16,1753.91,1729.69,1749.27,71647
2024-02-20,1752.80,1765.82,1731.45,1734.75,106876
2024-02-21,1734.63,1762.94,1733.30,1746.05,88482
2024-02-22,1744.65,1762.35,1732.54,1760.59,302841
2024-02-23,1757.32,1773.50,1755.15,1772.77,305481
2024-02-26,1774.98,1776.73,1773.81,1775.44,319309
2024-02-27,1773.74,1781.47,1745.85,1761.31,245090
2024-02-28,1764.70,1778.98,1748.19,1752.62,301613
2024-02-29,1752.79,1759.54,1735.36,1740.88,313282
2024-03-01,1744.23,1755.22,1743.41,1747.50,205470
2024-03-04,1743.80,1757.55,1722.80,1728.36,124955
